iter_name,gi,pj,sk,cl,gmod_pa,phi_rad,psi_rad,cval_pa,x_min,x_max,spread,z_max,n_floor,retained_frac,ranoff_frac
grid_g0_p0_s0_c1,0,0,0,1,1000000.0,0.45,0.0,500.0,0.000200616,1.98865,1.988449384,0.0876034,598,0.03260869565217391,0.03881987577639751
grid_g0_p0_s0_c4,0,0,0,4,1000000.0,0.45,0.0,2000.0,0.0116234,1.16373,1.1521066,0.127275,627,0.017080745341614908,0.0
grid_g0_p0_s0_c2,0,0,0,2,1000000.0,0.45,0.0,1000.0,0.00536166,1.76415,1.7587883400000002,0.129448,620,0.027950310559006212,0.009316770186335404
grid_g0_p0_s0_c6,0,0,0,6,1000000.0,0.45,0.0,3000.0,0.0550996,0.89725,0.8421504,0.149455,635,0.013975155279503106,0.0
grid_g0_p0_s0_c3,0,0,0,3,1000000.0,0.45,0.0,1500.0,0.000328097,1.41024,1.409911903,0.10260140000000001,620,0.027950310559006212,0.009316770186335404
grid_g0_p0_s1_c0,0,0,1,0,1000000.0,0.45,0.0583333333333333,0.0,0.00471516,1.98054,1.97582484,0.0822386,526,0.04813664596273292,0.13509316770186336
grid_g0_p0_s0_c0,0,0,0,0,1000000.0,0.45,0.0,0.0,0.250606,1.98336,1.732754,0.05148,542,0.09006211180124224,0.055900621118012424
grid_g0_p0_s0_c5,0,0,0,5,1000000.0,0.45,0.0,2500.0,0.00633627,0.962654,0.95631773,0.142147,627,0.017080745341614908,0.0
grid_g0_p0_s1_c1,0,0,1,1,1000000.0,0.45,0.0583333333333333,500.0,0.00161623,1.97102,1.96940377,0.12915,521,0.034161490683229816,0.15683229813664595
grid_g0_p0_s1_c3,0,0,1,3,1000000.0,0.45,0.0583333333333333,1500.0,0.00262104,1.78682,1.7841989600000001,0.131759,580,0.031055900621118012,0.06677018633540373
grid_g0_p0_s1_c6,0,0,1,6,1000000.0,0.45,0.0583333333333333,3000.0,0.00270716,1.5444,1.54169284,0.170322,629,0.017080745341614908,0.0015527950310559005
grid_g0_p0_s1_c2,0,0,1,2,1000000.0,0.45,0.0583333333333333,1000.0,0.00175524,1.98944,1.98768476,0.122692,549,0.023291925465838508,0.12267080745341614
grid_g0_p0_s2_c0,0,0,2,0,1000000.0,0.45,0.1166666666666666,0.0,0.00217218,1.9883,1.9861278199999999,0.133492,491,0.046583850931677016,0.19099378881987578
grid_g0_p0_s2_c1,0,0,2,1,1000000.0,0.45,0.1166666666666666,500.0,0.00448402,1.98834,1.98385598,0.201591,464,0.03571428571428571,0.2406832298136646
grid_g0_p0_s1_c4,0,0,1,4,1000000.0,0.45,0.0583333333333333,2000.0,0.00126699,1.91306,1.91179301,0.132204,615,0.012422360248447204,0.027950310559006212
grid_g0_p0_s1_c5,0,0,1,5,1000000.0,0.45,0.0583333333333333,2500.0,0.00069448,1.88805,1.88735552,0.130429,626,0.020186335403726708,0.004658385093167702
grid_g0_p0_s2_c2,0,0,2,2,1000000.0,0.45,0.1166666666666666,1000.0,0.00962691,1.98623,1.97660309,0.174785,501,0.03571428571428571,0.18633540372670807
grid_g0_p0_s2_c3,0,0,2,3,1000000.0,0.45,0.1166666666666666,1500.0,0.00355208,1.98252,1.97896792,0.156783,514,0.023291925465838508,0.17857142857142858
grid_g0_p0_s2_c4,0,0,2,4,1000000.0,0.45,0.1166666666666666,2000.0,0.00209904,1.96412,1.96202096,0.14932299999999998,511,0.027950310559006212,0.17701863354037267
grid_g0_p0_s2_c5,0,0,2,5,1000000.0,0.45,0.1166666666666666,2500.0,0.00145754,1.9893,1.98784246,0.134157,561,0.023291925465838508,0.10093167701863354
grid_g0_p0_s2_c6,0,0,2,6,1000000.0,0.45,0.1166666666666666,3000.0,0.00298689,1.98874,1.9857531099999999,0.15622999999999998,590,0.026397515527950312,0.04813664596273292
grid_g0_p0_s3_c1,0,0,3,1,1000000.0,0.45,0.175,500.0,0.00598436,1.98536,1.97937564,0.237276,418,0.05434782608695652,0.2888198757763975
grid_g0_p0_s3_c0,0,0,3,0,1000000.0,0.45,0.175,0.0,0.00465374,1.98982,1.98516626,0.187915,461,0.03881987577639751,0.24378881987577639
grid_g0_p0_s3_c2,0,0,3,2,1000000.0,0.45,0.175,1000.0,0.00298499,1.97743,1.97444501,0.178441,428,0.037267080745341616,0.29347826086956524
grid_g0_p0_s3_c3,0,0,3,3,1000000.0,0.45,0.175,1500.0,0.00291048,1.98995,1.9870395200000002,0.20502099999999998,449,0.04192546583850932,0.2562111801242236
grid_g0_p0_s3_c4,0,0,3,4,1000000.0,0.45,0.175,2000.0,0.00803262,1.98878,1.98074738,0.205949,506,0.029503105590062112,0.18167701863354038
grid_g0_p0_s3_c5,0,0,3,5,1000000.0,0.45,0.175,2500.0,0.0148276,1.98966,1.9748324,0.176865,506,0.020186335403726708,0.18322981366459629
grid_g0_p0_s3_c6,0,0,3,6,1000000.0,0.45,0.175,3000.0,0.00150258,1.98841,1.98690742,0.187438,558,0.023291925465838508,0.10714285714285714
grid_g0_p0_s4_c0,0,0,4,0,1000000.0,0.45,0.2333333333333333,0.0,0.00234132,1.98614,1.98379868,0.16724899999999998,431,0.03571428571428571,0.2826086956521739
grid_g0_p0_s4_c3,0,0,4,3,1000000.0,0.45,0.2333333333333333,1500.0,0.00196351,1.98697,1.98500649,0.332305,404,0.04503105590062112,0.3136645962732919
grid_g0_p0_s4_c1,0,0,4,1,1000000.0,0.45,0.2333333333333333,500.0,0.00485578,1.98517,1.9803142200000001,0.22844299999999998,383,0.043478260869565216,0.3385093167701863
grid_g0_p0_s4_c2,0,0,4,2,1000000.0,0.45,0.2333333333333333,1000.0,0.00649484,1.98726,1.98076516,0.27449999999999997,394,0.05434782608695652,0.3245341614906832
grid_g0_p0_s4_c4,0,0,4,4,1000000.0,0.45,0.2333333333333333,2000.0,0.00723258,1.98905,1.98181742,0.20135599999999998,425,0.04503105590062112,0.2826086956521739
grid_g0_p0_s4_c5,0,0,4,5,1000000.0,0.45,0.2333333333333333,2500.0,0.000529298,1.96709,1.966560702,0.241263,459,0.034161490683229816,0.2406832298136646
grid_g0_p0_s4_c6,0,0,4,6,1000000.0,0.45,0.2333333333333333,3000.0,0.00355925,1.9854,1.9818407500000002,0.206276,455,0.03881987577639751,0.2453416149068323
grid_g0_p0_s5_c0,0,0,5,0,1000000.0,0.45,0.2916666666666666,0.0,0.0950359,1.98706,1.8920241,0.209495,405,0.037267080745341616,0.31211180124223603
grid_g0_p0_s5_c1,0,0,5,1,1000000.0,0.45,0.2916666666666666,500.0,0.00473384,1.9841,1.9793661599999999,0.236344,367,0.03260869565217391,0.36801242236024845
grid_g0_p0_s5_c3,0,0,5,3,1000000.0,0.45,0.2916666666666666,1500.0,0.00582625,1.9833,1.9774737500000001,0.287802,358,0.04813664596273292,0.3804347826086957
grid_g0_p0_s5_c2,0,0,5,2,1000000.0,0.45,0.2916666666666666,1000.0,0.00573677,1.98381,1.9780732300000001,0.314569,362,0.046583850931677016,0.37422360248447206
grid_g0_p0_s5_c4,0,0,5,4,1000000.0,0.45,0.2916666666666666,2000.0,0.00173863,1.9817,1.97996137,0.201813,396,0.027950310559006212,0.31521739130434784
grid_g0_p0_s5_c5,0,0,5,5,1000000.0,0.45,0.2916666666666666,2500.0,0.00958301,1.98837,1.97878699,0.301786,374,0.037267080745341616,0.3167701863354037
grid_g0_p0_s5_c6,0,0,5,6,1000000.0,0.45,0.2916666666666666,3000.0,0.00266556,1.9883,1.98563444,0.23638599999999999,373,0.03881987577639751,0.3136645962732919
grid_g0_p0_s6_c0,0,0,6,0,1000000.0,0.45,0.35,0.0,0.0139294,1.98914,1.9752105999999998,0.230839,384,0.03260869565217391,0.34316770186335405
grid_g0_p0_s6_c3,0,0,6,3,1000000.0,0.45,0.35,1500.0,0.00898535,1.98614,1.9771546500000001,0.23751899999999998,328,0.040372670807453416,0.38664596273291924
grid_g0_p0_s6_c1,0,0,6,1,1000000.0,0.45,0.35,500.0,0.00358643,1.98511,1.98152357,0.233927,319,0.034161490683229816,0.39906832298136646
grid_g0_p0_s6_c2,0,0,6,2,1000000.0,0.45,0.35,1000.0,0.00143143,1.9838,1.98236857,0.324545,341,0.03881987577639751,0.39751552795031053
grid_g0_p0_s6_c4,0,0,6,4,1000000.0,0.45,0.35,2000.0,0.00597298,1.98663,1.98065702,0.268105,364,0.026397515527950312,0.34316770186335405
grid_g0_p0_s6_c5,0,0,6,5,1000000.0,0.45,0.35,2500.0,0.000762401,1.9856,1.984837599,0.275013,373,0.03260869565217391,0.31832298136645965
grid_g0_p0_s6_c6,0,0,6,6,1000000.0,0.45,0.35,3000.0,0.00228396,1.98896,1.98667604,0.313904,373,0.03260869565217391,0.32142857142857145
grid_g0_p1_s0_c0,0,1,0,0,1000000.0,0.525,0.0,0.0,0.00747227,1.8279,1.82042773,0.0594785,587,0.08695652173913043,0.0
grid_g0_p1_s0_c1,0,1,0,1,1000000.0,0.525,0.0,500.0,0.000934288,1.68217,1.6812357119999999,0.1050179,623,0.03260869565217391,0.0
grid_g0_p1_s0_c2,0,1,0,2,1000000.0,0.525,0.0,1000.0,0.00744036,1.51706,1.5096196400000002,0.11935319999999999,625,0.021739130434782608,0.0
grid_g0_p1_s0_c3,0,1,0,3,1000000.0,0.525,0.0,1500.0,0.00458884,1.1675,1.16291116,0.13635,616,0.031055900621118012,0.0
grid_g0_p1_s0_c4,0,1,0,4,1000000.0,0.525,0.0,2000.0,0.00912061,0.980772,0.97165139,0.137567,635,0.013975155279503106,0.0
grid_g0_p1_s0_c5,0,1,0,5,1000000.0,0.525,0.0,2500.0,0.00612862,0.833503,0.82737438,0.156155,635,0.013975155279503106,0.0
grid_g0_p1_s0_c6,0,1,0,6,1000000.0,0.525,0.0,3000.0,0.0422307,0.71593,0.6736993,0.17153,633,0.017080745341614908,0.0
grid_g0_p1_s1_c0,0,1,1,0,1000000.0,0.525,0.0583333333333333,0.0,0.00284535,1.98724,1.9843946499999998,0.130064,596,0.05745341614906832,0.017080745341614908
grid_g0_p1_s1_c1,0,1,1,1,1000000.0,0.525,0.0583333333333333,500.0,0.000458786,1.98969,1.989231214,0.12412699999999999,609,0.03260869565217391,0.021739130434782608
grid_g0_p1_s1_c2,0,1,1,2,1000000.0,0.525,0.0583333333333333,1000.0,0.0033963,1.97575,1.9723537,0.121363,624,0.020186335403726708,0.009316770186335404
grid_g0_p1_s1_c3,0,1,1,3,1000000.0,0.525,0.0583333333333333,1500.0,0.000289319,1.87943,1.879140681,0.13697,630,0.010869565217391304,0.006211180124223602
grid_g0_p1_s1_c4,0,1,1,4,1000000.0,0.525,0.0583333333333333,2000.0,0.00136028,1.43153,1.4301697199999999,0.14959899999999998,625,0.024844720496894408,0.004658385093167702
grid_g0_p1_s1_c5,0,1,1,5,1000000.0,0.525,0.0583333333333333,2500.0,0.00457512,1.14358,1.13900488,0.121972,616,0.034161490683229816,0.007763975155279503
grid_g0_p1_s1_c6,0,1,1,6,1000000.0,0.525,0.0583333333333333,3000.0,0.00152145,1.10264,1.10111855,0.17085899999999998,630,0.010869565217391304,0.003105590062111801
grid_g0_p1_s2_c0,0,1,2,0,1000000.0,0.525,0.1166666666666666,0.0,0.00215062,1.98087,1.9787193799999998,0.19125599999999998,577,0.046583850931677016,0.05745341614906832
grid_g0_p1_s2_c1,0,1,2,1,1000000.0,0.525,0.1166666666666666,500.0,0.00302662,1.98812,1.9850933800000001,0.200462,542,0.059006211180124224,0.09782608695652174
grid_g0_p1_s2_c2,0,1,2,2,1000000.0,0.525,0.1166666666666666,1000.0,0.00262648,1.98676,1.98413352,0.191169,565,0.03881987577639751,0.08385093167701864
grid_g0_p1_s2_c3,0,1,2,3,1000000.0,0.525,0.1166666666666666,1500.0,0.00172282,1.98268,1.98095718,0.169293,618,0.024844720496894408,0.013975155279503106
grid_g0_p1_s2_c4,0,1,2,4,1000000.0,0.525,0.1166666666666666,2000.0,0.00178007,1.85266,1.85087993,0.174693,616,0.027950310559006212,0.009316770186335404
grid_g0_p1_s3_c0,0,1,3,0,1000000.0,0.525,0.175,0.0,0.00566046,1.9849,1.97923954,0.197012,548,0.03881987577639751,0.10559006211180125
grid_g0_p1_s2_c6,0,1,2,6,1000000.0,0.525,0.1166666666666666,3000.0,0.00196091,1.56985,1.56788909,0.178013,614,0.026397515527950312,0.006211180124223602
grid_g0_p1_s2_c5,0,1,2,5,1000000.0,0.525,0.1166666666666666,2500.0,0.000987191,1.7915,1.790512809,0.172294,620,0.031055900621118012,0.006211180124223602
grid_g0_p1_s3_c1,0,1,3,1,1000000.0,0.525,0.175,500.0,0.000486785,1.98881,1.9883232149999999,0.29207099999999997,506,0.052795031055900624,0.15683229813664595
grid_g0_p1_s3_c2,0,1,3,2,1000000.0,0.525,0.175,1000.0,0.00631846,1.98337,1.9770515400000002,0.267772,535,0.037267080745341616,0.13043478260869565
grid_g0_p1_s3_c3,0,1,3,3,1000000.0,0.525,0.175,1500.0,0.0113961,1.98545,1.9740539,0.264258,549,0.037267080745341616,0.10403726708074534
grid_g0_p1_s3_c4,0,1,3,4,1000000.0,0.525,0.175,2000.0,0.00508298,1.98986,1.98477702,0.25588500000000003,595,0.023291925465838508,0.052795031055900624
grid_g0_p1_s4_c0,0,1,4,0,1000000.0,0.525,0.2333333333333333,0.0,0.0125796,1.98736,1.9747804,0.263925,532,0.04813664596273292,0.11956521739130435
grid_g0_p1_s3_c5,0,1,3,5,1000000.0,0.525,0.175,2500.0,0.000603381,1.98161,1.9810066190000002,0.20582499999999998,575,0.03571428571428571,0.06832298136645963
grid_g0_p1_s3_c6,0,1,3,6,1000000.0,0.525,0.175,3000.0,0.00182843,1.98477,1.98294157,0.19631099999999999,607,0.026397515527950312,0.024844720496894408
grid_g0_p1_s4_c1,0,1,4,1,1000000.0,0.525,0.2333333333333333,500.0,0.00319004,1.98431,1.98111996,0.249997,460,0.055900621118012424,0.20652173913043478
grid_g0_p1_s4_c2,0,1,4,2,1000000.0,0.525,0.2333333333333333,1000.0,0.00298176,1.97464,1.97165824,0.296849,472,0.049689440993788817,0.18478260869565216
grid_g0_p1_s4_c3,0,1,4,3,1000000.0,0.525,0.2333333333333333,1500.0,0.0019489,1.98753,1.9855811,0.310659,497,0.034161490683229816,0.18633540372670807
grid_g0_p1_s4_c4,0,1,4,4,1000000.0,0.525,0.2333333333333333,2000.0,0.00710347,1.9834,1.9762965300000002,0.23372199999999999,508,0.04192546583850932,0.16614906832298137
grid_g0_p1_s4_c5,0,1,4,5,1000000.0,0.525,0.2333333333333333,2500.0,0.0017064,1.98715,1.9854436,0.252069,539,0.04813664596273292,0.10714285714285714
grid_g0_p1_s4_c6,0,1,4,6,1000000.0,0.525,0.2333333333333333,3000.0,0.00299329,1.98446,1.9814667099999999,0.285601,584,0.049689440993788817,0.037267080745341616
grid_g0_p1_s5_c0,0,1,5,0,1000000.0,0.525,0.2916666666666666,0.0,0.0080668,1.98804,1.9799732,0.192001,484,0.040372670807453416,0.19099378881987578
grid_g0_p1_s5_c1,0,1,5,1,1000000.0,0.525,0.2916666666666666,500.0,0.0055144,1.98666,1.9811456,0.263588,442,0.05434782608695652,0.2468944099378882
grid_g0_p1_s5_c2,0,1,5,2,1000000.0,0.525,0.2916666666666666,1000.0,0.00373778,1.98537,1.98163222,0.353493,431,0.05745341614906832,0.2562111801242236
grid_g0_p1_s5_c3,0,1,5,3,1000000.0,0.525,0.2916666666666666,1500.0,0.00580862,1.98724,1.9814313799999999,0.306401,415,0.059006211180124224,0.2732919254658385
grid_g0_p1_s5_c4,0,1,5,4,1000000.0,0.525,0.2916666666666666,2000.0,0.000870379,1.98661,1.985739621,0.24909,480,0.040372670807453416,0.19875776397515527
grid_g0_p1_s5_c5,0,1,5,5,1000000.0,0.525,0.2916666666666666,2500.0,0.00361531,1.97228,1.96866469,0.24465599999999998,484,0.05124223602484472,0.18322981366459629
